subject_model,dataset,language,seed,n_units,n_total,band,units,status
qwen2.5-7b,crows_pairs,en,13,395,10752,7|8|9,7:27|7:39|7:53|7:63|7:79|7:97|7:107|7:135|7:168|7:178|7:196|7:206|7:251|7:391|7:448|7:465|7:500|7:512|7:621|7:633|7:652|7:655|7:664|7:753|7:757|7:768|7:830|7:866|7:875|7:950|7:994|7:1031|7:1037|7:1058|7:1093|7:1115|7:1128|7:1151|7:1227|7:1233|7:1246|7:1334|7:1459|7:1514|7:1574|7:1626|7:1691|7:1727|7:1731|7:1741|7:1758|7:1789|7:1811|7:1815|7:1825|7:1843|7:1847|7:1850|7:1867|7:1879|7:1885|7:1916|7:1928|7:1931|7:1934|7:1958|7:2030|7:2031|7:2040|7:2043|7:2091|7:2107|7:2124|7:2129|7:2153|7:2175|7:2224|7:2227|7:2230|7:2251|7:2273|7:2410|7:2447|7:2454|7:2492|7:2493|7:2520|7:2529|7:2569|7:2575|7:2667|7:2734|7:2739|7:2751|7:2794|7:2829|7:2849|7:2868|7:2930|7:2938|7:2994|7:3073|7:3078|7:3098|7:3136|7:3138|7:3176|7:3210|7:3226|7:3231|7:3299|7:3304|7:3309|7:3331|7:3347|7:3394|7:3397|7:3401|7:3435|7:3471|7:3561|7:3563|7:3568|7:3574|7:3576|7:3582|8:27|8:73|8:102|8:118|8:148|8:181|8:230|8:237|8:267|8:284|8:365|8:387|8:390|8:403|8:405|8:454|8:508|8:511|8:516|8:612|8:624|8:639|8:644|8:679|8:712|8:750|8:827|8:846|8:854|8:873|8:879|8:883|8:897|8:907|8:919|8:963|8:1030|8:1036|8:1057|8:1058|8:1067|8:1172|8:1179|8:1186|8:1195|8:1197|8:1251|8:1270|8:1271|8:1323|8:1360|8:1378|8:1389|8:1390|8:1393|8:1467|8:1565|8:1615|8:1689|8:1712|8:1718|8:1731|8:1737|8:1778|8:1795|8:1805|8:1815|8:1832|8:1850|8:1872|8:1873|8:1914|8:1982|8:2011|8:2012|8:2033|8:2039|8:2043|8:2076|8:2107|8:2132|8:2153|8:2168|8:2179|8:2188|8:2232|8:2271|8:2284|8:2331|8:2390|8:2397|8:2402|8:2403|8:2408|8:2420|8:2486|8:2488|8:2508|8:2514|8:2685|8:2740|8:2760|8:2769|8:2803|8:2864|8:2972|8:3014|8:3026|8:3037|8:3056|8:3097|8:3164|8:3223|8:3250|8:3270|8:3356|8:3379|8:3438|8:3470|8:3493|8:3502|8:3510|9:15|9:21|9:29|9:82|9:86|9:89|9:158|9:160|9:161|9:244|9:259|9:267|9:390|9:422|9:430|9:484|9:485|9:491|9:497|9:519|9:531|9:583|9:586|9:588|9:602|9:605|9:623|9:625|9:627|9:658|9:709|9:711|9:722|9:735|9:748|9:750|9:773|9:916|9:954|9:963|9:983|9:991|9:1007|9:1011|9:1045|9:1053|9:1054|9:1088|9:1138|9:1140|9:1175|9:1226|9:1233|9:1283|9:1301|9:1316|9:1350|9:1389|9:1391|9:1393|9:1398|9:1415|9:1419|9:1428|9:1475|9:1497|9:1566|9:1569|9:1602|9:1686|9:1698|9:1710|9:1718|9:1768|9:1792|9:1796|9:1814|9:1972|9:1997|9:2024|9:2032|9:2078|9:2095|9:2112|9:2131|9:2144|9:2175|9:2178|9:2219|9:2221|9:2256|9:2258|9:2322|9:2324|9:2331|9:2340|9:2378|9:2390|9:2455|9:2468|9:2498|9:2553|9:2590|9:2595|9:2603|9:2637|9:2652|9:2693|9:2706|9:2723|9:2744|9:2761|9:2776|9:2789|9:2806|9:2808|9:2828|9:2831|9:2844|9:2872|9:2892|9:2910|9:2914|9:2927|9:2931|9:3027|9:3049|9:3056|9:3091|9:3093|9:3097|9:3114|9:3178|9:3180|9:3184|9:3188|9:3191|9:3209|9:3246|9:3250|9:3257|9:3362|9:3382|9:3398|9:3481|9:3529|9:3576,ok
qwen2.5-7b,crows_pairs,en,29,395,10752,7|8|9,7:27|7:39|7:53|7:63|7:79|7:97|7:107|7:135|7:168|7:178|7:196|7:206|7:251|7:391|7:448|7:465|7:500|7:512|7:621|7:633|7:652|7:655|7:664|7:753|7:757|7:768|7:830|7:866|7:875|7:950|7:994|7:1031|7:1037|7:1058|7:1093|7:1115|7:1128|7:1151|7:1227|7:1233|7:1246|7:1334|7:1459|7:1514|7:1574|7:1626|7:1691|7:1727|7:1731|7:1741|7:1758|7:1789|7:1811|7:1815|7:1825|7:1843|7:1847|7:1850|7:1867|7:1879|7:1885|7:1916|7:1928|7:1931|7:1934|7:1958|7:2030|7:2031|7:2040|7:2043|7:2091|7:2107|7:2124|7:2129|7:2153|7:2175|7:2224|7:2227|7:2230|7:2251|7:2273|7:2410|7:2447|7:2454|7:2492|7:2493|7:2520|7:2529|7:2569|7:2575|7:2667|7:2734|7:2739|7:2751|7:2794|7:2829|7:2849|7:2868|7:2930|7:2938|7:2994|7:3073|7:3078|7:3098|7:3136|7:3138|7:3176|7:3210|7:3226|7:3231|7:3299|7:3304|7:3309|7:3331|7:3347|7:3394|7:3397|7:3401|7:3435|7:3471|7:3561|7:3563|7:3568|7:3574|7:3576|7:3582|8:27|8:73|8:102|8:118|8:148|8:181|8:230|8:237|8:267|8:284|8:365|8:387|8:390|8:403|8:405|8:454|8:508|8:511|8:516|8:612|8:624|8:639|8:644|8:679|8:712|8:750|8:827|8:846|8:854|8:873|8:879|8:883|8:897|8:907|8:919|8:963|8:1030|8:1036|8:1057|8:1058|8:1067|8:1172|8:1179|8:1186|8:1195|8:1197|8:1251|8:1270|8:1271|8:1323|8:1360|8:1378|8:1389|8:1390|8:1393|8:1467|8:1565|8:1615|8:1689|8:1712|8:1718|8:1731|8:1737|8:1778|8:1795|8:1805|8:1815|8:1832|8:1850|8:1872|8:1873|8:1914|8:1982|8:2011|8:2012|8:2033|8:2039|8:2043|8:2076|8:2107|8:2132|8:2153|8:2168|8:2179|8:2188|8:2232|8:2271|8:2284|8:2331|8:2390|8:2397|8:2402|8:2403|8:2408|8:2420|8:2486|8:2488|8:2508|8:2514|8:2685|8:2740|8:2760|8:2769|8:2803|8:2864|8:2972|8:3014|8:3026|8:3037|8:3056|8:3097|8:3164|8:3223|8:3250|8:3270|8:3356|8:3379|8:3438|8:3470|8:3493|8:3502|8:3510|9:15|9:21|9:29|9:82|9:86|9:89|9:158|9:160|9:161|9:244|9:259|9:267|9:390|9:422|9:430|9:484|9:485|9:491|9:497|9:519|9:531|9:583|9:586|9:588|9:602|9:605|9:623|9:625|9:627|9:658|9:709|9:711|9:722|9:735|9:748|9:750|9:773|9:916|9:954|9:963|9:983|9:991|9:1007|9:1011|9:1045|9:1053|9:1054|9:1088|9:1138|9:1140|9:1175|9:1226|9:1233|9:1283|9:1301|9:1316|9:1350|9:1389|9:1391|9:1393|9:1398|9:1415|9:1419|9:1428|9:1475|9:1497|9:1566|9:1569|9:1602|9:1686|9:1698|9:1710|9:1718|9:1768|9:1792|9:1796|9:1814|9:1972|9:1997|9:2024|9:2032|9:2078|9:2095|9:2112|9:2131|9:2144|9:2175|9:2178|9:2219|9:2221|9:2256|9:2258|9:2322|9:2324|9:2331|9:2340|9:2378|9:2390|9:2455|9:2468|9:2498|9:2553|9:2590|9:2595|9:2603|9:2637|9:2652|9:2693|9:2706|9:2723|9:2744|9:2761|9:2776|9:2789|9:2806|9:2808|9:2828|9:2831|9:2844|9:2872|9:2892|9:2910|9:2914|9:2927|9:2931|9:3027|9:3049|9:3056|9:3091|9:3093|9:3097|9:3114|9:3178|9:3180|9:3184|9:3188|9:3191|9:3209|9:3246|9:3250|9:3257|9:3362|9:3382|9:3398|9:3481|9:3529|9:3576,ok
qwen2.5-7b,crows_pairs,en,42,395,10752,7|8|9,7:27|7:39|7:53|7:63|7:79|7:97|7:107|7:135|7:168|7:178|7:196|7:206|7:251|7:391|7:448|7:465|7:500|7:512|7:621|7:633|7:652|7:655|7:664|7:753|7:757|7:768|7:830|7:866|7:875|7:950|7:994|7:1031|7:1037|7:1058|7:1093|7:1115|7:1128|7:1151|7:1227|7:1233|7:1246|7:1334|7:1459|7:1514|7:1574|7:1626|7:1691|7:1727|7:1731|7:1741|7:1758|7:1789|7:1811|7:1815|7:1825|7:1843|7:1847|7:1850|7:1867|7:1879|7:1885|7:1916|7:1928|7:1931|7:1934|7:1958|7:2030|7:2031|7:2040|7:2043|7:2091|7:2107|7:2124|7:2129|7:2153|7:2175|7:2224|7:2227|7:2230|7:2251|7:2273|7:2410|7:2447|7:2454|7:2492|7:2493|7:2520|7:2529|7:2569|7:2575|7:2667|7:2734|7:2739|7:2751|7:2794|7:2829|7:2849|7:2868|7:2930|7:2938|7:2994|7:3073|7:3078|7:3098|7:3136|7:3138|7:3176|7:3210|7:3226|7:3231|7:3299|7:3304|7:3309|7:3331|7:3347|7:3394|7:3397|7:3401|7:3435|7:3471|7:3561|7:3563|7:3568|7:3574|7:3576|7:3582|8:27|8:73|8:102|8:118|8:148|8:181|8:230|8:237|8:267|8:284|8:365|8:387|8:390|8:403|8:405|8:454|8:508|8:511|8:516|8:612|8:624|8:639|8:644|8:679|8:712|8:750|8:827|8:846|8:854|8:873|8:879|8:883|8:897|8:907|8:919|8:963|8:1030|8:1036|8:1057|8:1058|8:1067|8:1172|8:1179|8:1186|8:1195|8:1197|8:1251|8:1270|8:1271|8:1323|8:1360|8:1378|8:1389|8:1390|8:1393|8:1467|8:1565|8:1615|8:1689|8:1712|8:1718|8:1731|8:1737|8:1778|8:1795|8:1805|8:1815|8:1832|8:1850|8:1872|8:1873|8:1914|8:1982|8:2011|8:2012|8:2033|8:2039|8:2043|8:2076|8:2107|8:2132|8:2153|8:2168|8:2179|8:2188|8:2232|8:2271|8:2284|8:2331|8:2390|8:2397|8:2402|8:2403|8:2408|8:2420|8:2486|8:2488|8:2508|8:2514|8:2685|8:2740|8:2760|8:2769|8:2803|8:2864|8:2972|8:3014|8:3026|8:3037|8:3056|8:3097|8:3164|8:3223|8:3250|8:3270|8:3356|8:3379|8:3438|8:3470|8:3493|8:3502|8:3510|9:15|9:21|9:29|9:82|9:86|9:89|9:158|9:160|9:161|9:244|9:259|9:267|9:390|9:422|9:430|9:484|9:485|9:491|9:497|9:519|9:531|9:583|9:586|9:588|9:602|9:605|9:623|9:625|9:627|9:658|9:709|9:711|9:722|9:735|9:748|9:750|9:773|9:916|9:954|9:963|9:983|9:991|9:1007|9:1011|9:1045|9:1053|9:1054|9:1088|9:1138|9:1140|9:1175|9:1226|9:1233|9:1283|9:1301|9:1316|9:1350|9:1389|9:1391|9:1393|9:1398|9:1415|9:1419|9:1428|9:1475|9:1497|9:1566|9:1569|9:1602|9:1686|9:1698|9:1710|9:1718|9:1768|9:1792|9:1796|9:1814|9:1972|9:1997|9:2024|9:2032|9:2078|9:2095|9:2112|9:2131|9:2144|9:2175|9:2178|9:2219|9:2221|9:2256|9:2258|9:2322|9:2324|9:2331|9:2340|9:2378|9:2390|9:2455|9:2468|9:2498|9:2553|9:2590|9:2595|9:2603|9:2637|9:2652|9:2693|9:2706|9:2723|9:2744|9:2761|9:2776|9:2789|9:2806|9:2808|9:2828|9:2831|9:2844|9:2872|9:2892|9:2910|9:2914|9:2927|9:2931|9:3027|9:3049|9:3056|9:3091|9:3093|9:3097|9:3114|9:3178|9:3180|9:3184|9:3188|9:3191|9:3209|9:3246|9:3250|9:3257|9:3362|9:3382|9:3398|9:3481|9:3529|9:3576,ok
