src_lang,tgt_lang,n_heldout_links,bridge_ratio_heldout,null_ratio,lift_over_null,cross_lingual_mass
en,hi,244,0.4486,0.5701,0.7868,0.115786
en,bn,236,0.3978,0.5303,0.75,0.120618
hi,en,238,0.4633,0.5848,0.7923,0.11292
hi,bn,231,0.4178,0.5191,0.8048,0.123355
bn,en,221,0.4394,0.543,0.8092,0.114983
bn,hi,226,0.444,0.528,0.8409,0.12135
en,hi,244,0.4486,0.5701,0.7868,0.115786
en,bn,236,0.3978,0.5303,0.75,0.120618
hi,en,238,0.4633,0.5848,0.7923,0.11292
hi,bn,231,0.4178,0.5191,0.8048,0.123355
bn,en,221,0.4394,0.543,0.8092,0.114983
bn,hi,226,0.444,0.528,0.8409,0.12135
en,hi,244,0.4486,0.5701,0.7868,0.115786
en,bn,236,0.3978,0.5303,0.75,0.120618
hi,en,238,0.4633,0.5848,0.7923,0.11292
hi,bn,231,0.4178,0.5191,0.8048,0.123355
bn,en,221,0.4394,0.543,0.8092,0.114983
bn,hi,226,0.444,0.528,0.8409,0.12135
