timestamp_utc,subject_model,dataset,variant,filter_clti,competence_gated_clti,emergence_band
2026-06-09T10:40:38Z,qwen2.5-7b,crows_pairs,graph_full,-0.3869,,7|8|9
2026-06-09T11:12:34Z,qwen2.5-7b,indian_bias,graph_full,0.0716,,7|8|9
2026-06-09T12:07:00Z,aya-23-8b,crows_pairs,graph_full,1.7959,,29|30|31
2026-06-09T12:44:13Z,aya-23-8b,indian_bias,graph_full,0.0,,10|11|12
2026-06-09T19:38:08Z,xlm-r-base,crows_pairs,graph_full,-0.2812,,5|10|11
2026-06-09T20:21:43Z,xlm-r-base,indian_bias,graph_full,0.0,,8|9|10
2026-06-09T21:46:06Z,muril-base,crows_pairs,graph_full,2.1124,,1|5|10
2026-06-09T22:21:38Z,muril-base,indian_bias,graph_full,3.015,,0|1|3
2026-06-10T00:00:41Z,mbert,crows_pairs,graph_full,2.2878,,10|11|12
2026-06-10T00:07:35Z,mbert,indian_bias,graph_full,0.271,,10|11|12
