timestamp_utc,subject_model,dataset,bias_category,intrinsic_bias_en,expressed_bias_en,suppression_en,intrinsic_bias_hi,expressed_bias_hi,suppression_hi,intrinsic_bias_bn,expressed_bias_bn,suppression_bn,safety_transfer_gap
2026-06-08T14:35:01Z,aya-23-8b,crows_pairs,all,61.3652,58.0221,3.3431,53.7324,57.7402,-4.0078,53.5311,49.8113,3.7198,3.4871
2026-06-08T14:35:01Z,aya-23-8b,indian_bias,all,58.1028,56.25,1.8528,51.2064,56.5742,-5.3678,63.2353,52.432,10.8033,-0.865
2026-06-08T14:35:01Z,qwen2.5-7b,crows_pairs,all,60.4504,55.1541,5.2963,52.1127,52.7902,-0.6775,53.8842,52.0577,1.8265,4.7218
2026-06-08T14:35:01Z,qwen2.5-7b,indian_bias,all,61.5283,54.0773,7.451,53.3512,51.9285,1.4227,50.8021,52.9042,-2.1021,7.7907
