subject_model,dataset,target_lang,bias_type,condition,cut_size,bias_baseline,bias_after,fbr,n_pairs,seed,competence_ok,status
qwen2.5-7b,crows_pairs,hi,all,direct,2,52.7465,51.3333,1.4132,300,42,False,ok
qwen2.5-7b,crows_pairs,hi,all,kg_bridged,474,52.7465,52.1831,0.5634,1420,42,False,ok
qwen2.5-7b,crows_pairs,bn,all,direct,2,53.6017,51.0,2.6017,300,42,False,ok
qwen2.5-7b,crows_pairs,bn,all,kg_bridged,474,53.6017,54.8729,-1.2712,1416,42,False,ok
qwen2.5-7b,indian_bias,hi,all,direct,12,53.6193,56.6667,-3.0474,300,42,False,ok
qwen2.5-7b,indian_bias,hi,all,kg_bridged,317,53.6193,53.8874,-0.2681,746,42,False,ok
qwen2.5-7b,indian_bias,bn,all,direct,12,51.3369,57.3333,-5.9964,300,42,False,ok
qwen2.5-7b,indian_bias,bn,all,kg_bridged,317,51.3369,50.9358,0.4011,748,42,False,ok
aya-23-8b,crows_pairs,hi,all,direct,7,53.8028,53.3333,0.4695,300,42,True,ok
aya-23-8b,crows_pairs,hi,all,kg_bridged,693,53.8028,54.5775,-0.7747,1420,42,True,ok
aya-23-8b,crows_pairs,bn,all,direct,7,52.7542,53.0,-0.2458,300,42,False,ok
aya-23-8b,crows_pairs,bn,all,kg_bridged,693,52.7542,52.5424,0.2118,1416,42,False,ok
aya-23-8b,indian_bias,hi,all,direct,5,51.8767,56.6667,-4.79,300,42,True,ok
aya-23-8b,indian_bias,hi,all,kg_bridged,93,51.8767,49.866,1.7427,746,42,True,ok
aya-23-8b,indian_bias,bn,all,direct,5,63.369,57.3333,6.0357,300,42,False,ok
aya-23-8b,indian_bias,bn,all,kg_bridged,93,63.369,62.7005,0.6685,748,42,False,ok
